language,id,text,file,node,lineNumber,lock,comment,asset
en,line:0e7faf1,Charli: WHOA! Someone bounced into my castle! What brings you here?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,3,2b9ab3c3,Line metadata: lastline,
en,line:01d77ec,I've got an invitation for you!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,4,a7e20015,,
en,line:0bc1fed,Charli: An invitation?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,5,bee4e15b,Line metadata: lastline,
en,line:0792d0d,It's a party! All the monsters are invited.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,6,c1a250fa,,
en,line:0aeeee9,Charli: Whoooooa YES!! But wait... my sky is so empty. My hot air balloons are all grounded!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,7,59a6c2e7,Line metadata: lastline,
en,line:05f13e8,I'll help you!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,8,4d03ca50,,
en,line:00efc24,"Charli: I've got fire, you've got legs, let's make this work.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,9,0898068b,,
en,line:022d218,Charli: I hereby lend you my fire power!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,10,007a3c09,,
en,line:0133a0a,I just wanted to ask about your castle!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,12,a18071cc,,
en,line:08bd869,"Charli: BOUNCY, right? I slime up the walls so it gets extra squish!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,13,9cc1ab7e,,
en,line:03a3f7a,"Charli: But without balloons floating around, it's like... only *half* bouncy.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,14,688c9386,Line metadata: lastline,
en,line:09df09d,What happened to the balloons?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,15,c5ba21e2,,
en,line:06a9f7f,Charli: They got sleepy. Cold. They need some fire... maybe from my favorite firefriend?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,16,e3eebea3,Line metadata: lastline,
en,line:01afb24,I'll help you!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,17,4d03ca50,,
en,line:0fae319,"Charli: I've got fire, you've got legs, let's make this work.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,18,0898068b,,
en,line:080120c,Charli: I hereby lend you my fire power!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,19,007a3c09,Line metadata: lastline,
